Phenotype	Category	Ancestry	p-value	Odds ratio	Model	No. cases	No. AA cases	No. AB cases	No. BB cases	Case AAF	Proportion AB or BB cases	Proportion BB cases	No. controls	No. AA controls	No. AB controls	No. BB controls	Control AAF	Proportion AB or BB controls	Proportion BB controls	Odds ratio LCI	Odds ratio UCI
Union#D124#Benign neoplasm: Descending colon	Chapter II Neoplasms	European	9.50E-03	0.9338	allelic	4347	2679	1473	195	0.2143	0.383712905	0.044858523	195689	117369	68173	10147	0.226	0.400226891	0.051852685	0.8867	0.9834
40002#R57#Shock not elsewhere classified	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	9.60E-03	0.6837	allelic	163	113	46	4	0.1656	0.306748466	0.024539877	307895	185120	106970	15805	0.225	0.398756069	0.051332435	0.5105	0.9155
41202#Block I26-I28#I26-I28 Pulmonary heart disease and diseases of pulmonary circulation	Chapter IX Diseases of the circulatory system	European	9.60E-03	1.0553	allelic	6687	3929	2391	367	0.2337	0.412442052	0.054882608	280348	168995	97017	14336	0.2242	0.397195628	0.051136445	1.0134	1.0989
41202#G912#Normal-pressure hydrocephalus	Chapter VI Diseases of the nervous system	European	9.60E-03	0.6835	allelic	163	111	50	2	0.1656	0.319018405	0.012269939	418033	251314	145244	21475	0.2251	0.398817797	0.051371542	0.5104	0.9153
41202#H184#Corneal degeneration	Chapter VII Diseases of the eye and adnexa	European	9.60E-03	1.4426	allelic	124	60	55	9	0.2944	0.516129032	0.072580645	378655	228132	131182	19341	0.2243	0.39752017	0.051078158	1.0978	1.8957
41202#K120#Recurrent oral aphthae	Chapter XI Diseases of the digestive system	European	9.60E-03	0.382	allelic	35	28	7	0	0.1	0.2	0	253314	152212	88036	13066	0.2253	0.399117301	0.051580252	0.1749	0.834
Union#D123#Benign neoplasm: Transverse colon	Chapter II Neoplasms	European	9.60E-03	0.9502	allelic	7833	4787	2689	357	0.2172	0.388867611	0.045576408	202348	121426	70371	10551	0.226	0.399914998	0.052142843	0.9142	0.9877
Union#M879#Osteonecrosis unspecified	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	9.60E-03	1.1731	allelic	727	410	268	49	0.2517	0.436038514	0.067400275	143934	87079	49557	7298	0.2229	0.395007434	0.050703795	1.0417	1.321
41202#G900#Idiopathic peripheral autonomic neuropathy	Chapter VI Diseases of the nervous system	European	9.70E-03	0.5484	allelic	73	55	16	2	0.137	0.246575342	0.02739726	269277	162195	93279	13803	0.2245	0.397664858	0.051259484	0.3421	0.8791
Union#D489#Neoplasm of uncertain or unknown behaviour: Neoplasm of uncertain or unknown behaviour unspecified	Chapter II Neoplasms	European	9.70E-03	0.984	allelic	101860	61447	35308	5105	0.2234	0.396750442	0.050117809	266261	159641	92756	13864	0.2263	0.40043416	0.05206921	0.972	0.9961
41202#K590#Constipation	Chapter XI Diseases of the digestive system	European	9.80E-03	0.9533	allelic	8879	5468	2965	446	0.2172	0.384164883	0.050230882	229147	137636	79703	11808	0.2254	0.399354999	0.05153024	0.9193	0.9886
Union#D313#Benign neoplasm: Choroid	Chapter II Neoplasms	European	9.80E-03	0.7314	allelic	227	159	56	12	0.1762	0.299559471	0.052863436	273096	163716	95163	14217	0.2263	0.400518499	0.052058617	0.5744	0.9312
Union#M720#Palmar fascial fibromatosis [Dupuytren]	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	9.80E-03	0.9441	allelic	6355	3936	2124	295	0.2135	0.380645161	0.046420142	101891	61586	35095	5210	0.2234	0.395569776	0.051133074	0.9037	0.9863
Union#N422#Atrophy of prostate	Chapter XIV Diseases of the genitourinary system	European	9.80E-03	1.3008	allelic	249	133	96	20	0.2731	0.465863454	0.080321285	124055	74841	42829	6385	0.2241	0.396711136	0.051469106	1.0678	1.5846
Union#I845#External haemorrhoids without complication	Chapter IX Diseases of the circulatory system	European	1.00E-02	1.1363	allelic	1129	638	420	71	0.2489	0.43489814	0.062887511	168701	101151	58921	8629	0.2258	0.400412564	0.051149667	1.0325	1.2504
